               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05076,            0.071406,            0.022921,             0.63792,             0.49356,             0.55718,             0.34614,            0.049291,            0.035038,            0.018465,              0.0001,              0.0001,              0.0991
                   1,            0.052577,            0.069899,            0.023818,             0.64424,             0.49495,             0.56132,             0.35013,            0.049072,            0.034829,            0.018149,          0.00028515,          0.00028515,            0.097285
                   2,            0.049777,            0.061846,            0.024611,             0.67473,             0.49275,             0.56889,             0.35028,             0.04899,            0.034618,            0.017661,           0.0004505,           0.0004505,            0.095451
                   3,             0.05215,            0.063068,             0.02402,             0.61089,             0.51477,             0.56726,             0.34073,            0.049128,            0.034497,            0.017059,          0.00059605,          0.00059605,            0.093596
                   4,            0.049823,            0.058598,            0.024373,             0.62375,             0.53218,             0.58709,             0.34113,            0.049359,            0.034318,            0.016503,           0.0007218,           0.0007218,            0.091722
                   5,            0.053664,            0.071604,             0.02306,             0.62591,             0.53315,             0.57506,             0.34266,            0.048839,            0.034038,            0.015888,          0.00082775,          0.00082775,            0.089828
                   6,            0.051262,            0.068584,            0.021157,             0.65255,              0.5272,             0.59152,             0.34348,            0.049082,            0.033722,            0.015233,           0.0009139,           0.0009139,            0.087914
                   7,            0.052777,            0.069249,            0.019478,             0.71896,             0.50308,             0.59532,             0.36502,            0.048144,            0.033447,            0.014686,          0.00098025,          0.00098025,             0.08598
                   8,            0.051584,            0.071913,            0.020287,             0.59774,              0.5679,             0.60124,              0.3578,            0.048533,            0.033347,             0.01438,           0.0010268,           0.0010268,            0.084027
                   9,            0.052246,            0.072541,            0.020872,             0.60807,             0.56156,             0.61486,             0.35642,            0.048513,            0.033083,            0.013931,           0.0010536,           0.0010536,            0.082054
                  10,              0.0505,            0.060706,            0.018968,             0.66002,             0.54283,               0.616,             0.37092,            0.048356,            0.032715,            0.013435,           0.0010605,           0.0010605,            0.080061
                  11,            0.049577,            0.070513,             0.01813,             0.67474,             0.55718,             0.64155,             0.36806,            0.049265,            0.032431,            0.013074,           0.0010477,           0.0010477,            0.078048
                  12,            0.051885,            0.068878,            0.018564,              0.6932,             0.55564,             0.64082,             0.37608,            0.048832,            0.032231,            0.012857,            0.001015,            0.001015,            0.076015
                  13,            0.048593,            0.060266,             0.01893,             0.62756,             0.58425,             0.64687,             0.38659,            0.048121,            0.032027,            0.012597,          0.00096255,          0.00096255,            0.073963
                  14,            0.050468,            0.065527,            0.018642,             0.68629,             0.55145,             0.64718,             0.38143,            0.048343,             0.03181,            0.012411,           0.0008903,           0.0008903,             0.07189
                  15,            0.049622,            0.062743,             0.01749,             0.69024,             0.56817,             0.66144,             0.41084,            0.046162,            0.031571,            0.012234,          0.00079825,          0.00079825,            0.069798
                  16,            0.045376,            0.058326,            0.018792,             0.72683,             0.57637,              0.6734,             0.42327,            0.045724,             0.03134,            0.012074,           0.0006864,           0.0006864,            0.067686
                  17,             0.04829,            0.063191,            0.017471,             0.72482,             0.58021,             0.67453,             0.42501,            0.045613,            0.031113,            0.011925,          0.00055475,          0.00055475,            0.065555
                  18,            0.045132,            0.057657,            0.016424,             0.70262,             0.59304,             0.67472,             0.42775,            0.045617,            0.030947,             0.01177,           0.0004033,           0.0004033,            0.063403
                  19,            0.046128,             0.05981,            0.016525,              0.7253,             0.57893,             0.67975,             0.43274,            0.045146,            0.030891,            0.011696,          0.00023205,          0.00023205,            0.061232
