               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044923,            0.063446,            0.015258,             0.75354,             0.61818,             0.72164,             0.48065,            0.040809,            0.029915,           0.0094605,              0.0001,              0.0001,              0.0991
                   1,            0.044446,            0.059345,            0.016199,             0.76888,             0.61554,             0.72356,             0.47576,            0.041121,             0.02988,           0.0093631,          0.00028515,          0.00028515,            0.097285
                   2,            0.046523,            0.065881,            0.016321,             0.67845,             0.69461,             0.73266,             0.48155,            0.040993,            0.029634,           0.0089691,           0.0004505,           0.0004505,            0.095451
                   3,            0.043048,            0.057848,            0.014624,             0.71698,             0.69132,             0.74041,             0.48446,            0.041038,            0.029382,           0.0085463,          0.00059605,          0.00059605,            0.093596
                   4,            0.044727,            0.059983,            0.014214,             0.72331,             0.70522,             0.74567,             0.48278,            0.040965,            0.029159,           0.0081412,           0.0007218,           0.0007218,            0.091722
                   5,            0.045274,            0.065677,            0.014344,             0.74208,             0.70394,             0.74725,             0.48445,            0.040879,            0.028982,           0.0078406,          0.00082775,          0.00082775,            0.089828
                   6,            0.043727,             0.06034,            0.014038,             0.77303,             0.69169,             0.75577,             0.48765,            0.041094,            0.028652,           0.0075316,           0.0009139,           0.0009139,            0.087914
                   7,            0.046207,            0.061713,            0.012526,             0.78705,             0.68916,             0.76134,             0.49973,            0.040503,            0.028371,           0.0072561,          0.00098025,          0.00098025,             0.08598
                   8,            0.043073,            0.057256,            0.012771,             0.76819,             0.70549,              0.7668,             0.49831,            0.040247,             0.02804,           0.0070116,           0.0010268,           0.0010268,            0.084027
                   9,            0.043207,             0.05346,            0.011036,             0.74801,             0.73031,             0.77279,             0.49684,            0.040298,            0.027657,           0.0067664,           0.0010536,           0.0010536,            0.082054
                  10,             0.04296,            0.057364,            0.011686,             0.79764,             0.70849,              0.7822,             0.50519,            0.040196,            0.027366,           0.0065463,           0.0010605,           0.0010605,            0.080061
                  11,            0.041676,            0.057544,            0.011128,             0.80268,             0.71371,             0.79468,             0.50925,            0.040334,            0.027176,           0.0063931,           0.0010477,           0.0010477,            0.078048
                  12,            0.042999,            0.054347,            0.011605,             0.81717,             0.70862,             0.79404,             0.52645,            0.039265,            0.026964,           0.0062174,            0.001015,            0.001015,            0.076015
                  13,            0.043961,            0.059765,            0.010895,             0.82553,             0.70685,              0.7975,             0.54136,            0.039224,            0.026716,           0.0060713,          0.00096255,          0.00096255,            0.073963
                  14,            0.042094,            0.055578,            0.011335,             0.82093,             0.71965,             0.79754,             0.54244,            0.038661,            0.026478,           0.0059429,           0.0008903,           0.0008903,             0.07189
                  15,            0.040998,            0.055114,            0.010692,             0.83104,             0.72371,             0.81243,             0.55983,             0.03802,            0.026248,           0.0057817,          0.00079825,          0.00079825,            0.069798
                  16,            0.042093,            0.056536,            0.010353,             0.84781,             0.72795,             0.81517,             0.55935,            0.037789,            0.026008,           0.0056617,           0.0006864,           0.0006864,            0.067686
                  17,            0.041237,            0.055308,            0.010467,              0.8319,             0.73891,             0.82695,             0.56904,             0.03753,            0.025841,           0.0055802,          0.00055475,          0.00055475,            0.065555
                  18,            0.040652,            0.055048,            0.010539,             0.84753,             0.73061,             0.82398,             0.57323,            0.037407,            0.025678,           0.0055199,           0.0004033,           0.0004033,            0.063403
                  19,            0.039683,            0.059719,           0.0099376,             0.84559,             0.73811,             0.83267,              0.5816,            0.036955,            0.025565,            0.005479,          0.00023205,          0.00023205,            0.061232
