               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11652,            0.036485,             0.05813,           0.0012691,             0.20476,          0.00098102,          0.00018916,            0.091422,            0.029063,            0.055619,              0.0013,              0.0013,              0.0883
                   1,            0.087222,            0.033116,            0.051548,           0.0072879,             0.41337,           0.0084853,           0.0022671,            0.066277,            0.028593,            0.049133,           0.0026733,           0.0026733,            0.075673
                   2,            0.074102,            0.032085,            0.047321,             0.10915,             0.31905,              0.1175,            0.050025,            0.084764,             0.01973,            0.045842,           0.0040188,           0.0040188,            0.063019
                   3,              0.0746,            0.028967,            0.043808,            0.060476,             0.31429,            0.054224,           0.0095034,            0.081864,            0.018243,            0.042123,           0.0053367,           0.0053367,            0.050337
                   4,            0.072165,            0.025851,             0.04117,             0.23158,             0.17141,            0.025163,           0.0046303,            0.086061,            0.020339,            0.040407,           0.0066268,           0.0066268,            0.037627
                   5,            0.076451,            0.021403,            0.038322,             0.87776,             0.19994,             0.12513,            0.035304,            0.085827,            0.015872,             0.03741,           0.0078891,           0.0078891,            0.024889
                   6,             0.07627,            0.021392,            0.036207,             0.27605,             0.50402,             0.38859,             0.11604,            0.069676,            0.017675,            0.036966,           0.0091238,           0.0091238,            0.012124
                   7,            0.069755,            0.022125,            0.033671,             0.58337,             0.43412,             0.45346,             0.10077,            0.073619,            0.016218,            0.035364,            0.009307,            0.009307,            0.009307
                   8,            0.073123,            0.018646,            0.032678,             0.66992,              0.5215,             0.50517,             0.21819,            0.074511,            0.015355,            0.033151,            0.009307,            0.009307,            0.009307
                   9,            0.060302,            0.018551,            0.029782,             0.61417,              0.5344,               0.458,             0.18387,            0.061527,            0.014662,             0.02947,            0.009208,            0.009208,            0.009208
                  10,            0.054727,            0.019011,            0.027652,             0.63087,             0.44205,             0.44019,             0.16362,            0.061811,            0.018575,            0.028296,            0.009109,            0.009109,            0.009109
                  11,            0.053359,            0.015769,            0.026585,             0.64526,             0.70298,               0.667,             0.26513,            0.049347,            0.013306,            0.026166,             0.00901,             0.00901,             0.00901
                  12,            0.052722,            0.014504,            0.025241,             0.65096,             0.68468,             0.73384,             0.32539,            0.046843,            0.011137,            0.024448,            0.008911,            0.008911,            0.008911
                  13,            0.045022,            0.015843,            0.024409,             0.36973,             0.75204,             0.58057,             0.28671,            0.055723,            0.010704,            0.022204,            0.008812,            0.008812,            0.008812
                  14,             0.05232,            0.013898,             0.02337,              0.5827,             0.83736,             0.90717,             0.43592,            0.040484,            0.010662,            0.020939,            0.008713,            0.008713,            0.008713
                  15,            0.042828,            0.014218,            0.021615,             0.92133,             0.72371,              0.9326,             0.39098,            0.037609,           0.0096211,            0.019165,            0.008614,            0.008614,            0.008614
                  16,            0.043849,            0.012724,            0.019385,             0.79445,             0.71499,              0.8811,             0.45787,            0.038159,           0.0090992,            0.018269,            0.008515,            0.008515,            0.008515
                  17,            0.039042,            0.011883,            0.018966,             0.89541,             0.66825,             0.91643,             0.33765,             0.04282,           0.0087532,            0.016734,            0.008416,            0.008416,            0.008416
                  18,            0.040929,            0.012477,            0.016855,             0.45455,             0.97065,             0.92982,             0.43851,            0.036978,           0.0086684,            0.015735,            0.008317,            0.008317,            0.008317
                  19,             0.03717,            0.011569,            0.015064,             0.66641,             0.97152,             0.97003,              0.6167,            0.032284,           0.0075643,             0.01445,            0.008218,            0.008218,            0.008218
                  20,            0.039427,            0.011578,            0.015638,             0.64141,             0.96567,             0.96656,             0.53281,            0.037826,           0.0074638,            0.013793,            0.008119,            0.008119,            0.008119
                  21,            0.038671,            0.012052,            0.014949,             0.80395,             0.95517,             0.96492,             0.66434,            0.028779,           0.0069871,            0.012962,             0.00802,             0.00802,             0.00802
                  22,            0.036491,            0.012741,            0.013188,             0.65995,             0.99993,             0.98178,             0.51785,            0.033906,           0.0073996,            0.011574,            0.007921,            0.007921,            0.007921
                  23,            0.035533,            0.010121,            0.012711,             0.63302,             0.97059,             0.90735,             0.42504,             0.03649,           0.0071673,             0.01031,            0.007822,            0.007822,            0.007822
                  24,            0.039776,            0.011539,            0.011087,             0.79363,             0.99996,             0.95327,             0.64754,            0.030396,           0.0072301,           0.0099682,            0.007723,            0.007723,            0.007723
                  25,            0.033741,             0.01055,             0.01086,             0.94347,             0.99559,              0.9915,             0.58779,            0.028498,            0.007002,           0.0092858,            0.007624,            0.007624,            0.007624
                  26,            0.038725,            0.011685,           0.0099409,             0.86806,             0.99548,             0.97449,             0.58941,            0.028466,           0.0069824,           0.0084995,            0.007525,            0.007525,            0.007525
                  27,            0.028804,            0.010968,           0.0087311,             0.65053,             0.97038,             0.89524,              0.4564,             0.03057,           0.0066099,           0.0069089,            0.007426,            0.007426,            0.007426
                  28,            0.034375,           0.0099324,           0.0085516,             0.83317,             0.99996,             0.94332,             0.64818,            0.026674,           0.0065775,           0.0064043,            0.007327,            0.007327,            0.007327
                  29,            0.030594,           0.0097354,           0.0067601,             0.95499,             0.98745,               0.988,             0.62158,            0.030371,           0.0065382,           0.0058487,            0.007228,            0.007228,            0.007228
                  30,            0.033038,             0.01019,           0.0071392,             0.98541,             0.97756,               0.995,             0.59952,            0.031314,           0.0064646,           0.0054026,            0.007129,            0.007129,            0.007129
                  31,            0.029718,            0.011365,           0.0065695,              0.9746,                   1,               0.995,             0.68438,            0.022495,           0.0061844,            0.004963,             0.00703,             0.00703,             0.00703
                  32,             0.03271,            0.010119,           0.0060405,             0.91116,             0.99982,             0.97725,             0.60323,            0.031406,           0.0066167,           0.0048362,            0.006931,            0.006931,            0.006931
                  33,            0.031682,             0.01003,            0.006166,             0.94457,             0.97143,              0.9915,             0.70555,            0.025137,            0.006174,           0.0046374,            0.006832,            0.006832,            0.006832
